	n ML	k ML
0.600387409200972	3.52545388912954	0.0629206412826205
0.598937198067636	3.58401642273621	0.0613315764706938
0.597493975903618	3.64416751721758	0.0597145590529898
0.596057692307696	3.68185409924387	0.0579966891429291
0.594628297362114	3.7492118736165	0.0555111623081638
0.593205741626798	3.80264152110282	0.0557543267595477
0.591789976133655	3.8453142879044	0.0551979274701396
0.590380952380956	3.89688927253249	0.054300016736874
0.588978622327795	3.93531929401181	0.0535843241431207
0.587582938388629	3.97033309248437	0.052975797932039
0.5861938534279	3.99522820973474	0.0526472392645009
0.584811320754721	4.02125743473403	0.0523098632280182
0.583435294117651	4.04696051111336	0.0518632598148095
0.582065727699534	4.07241687670547	0.051388356952371
0.580702576112416	4.09846237006466	0.0509250297838595
0.579345794392527	4.12398654856718	0.0504712487880321
0.577995337995342	4.15002226152405	0.0500062281211864
